Index,File,True_Label,Pred_Label,Error_Type,Confidence
121,/kaggle/input/datasets/paultimothymooney/chest-xray-pneumonia/chest_xray/test/NORMAL/NORMAL2-IM-0198-0001.jpeg,NORMAL,PNEUMONIA,False Positive,0.7768
122,/kaggle/input/datasets/paultimothymooney/chest-xray-pneumonia/chest_xray/test/NORMAL/NORMAL2-IM-0199-0001.jpeg,NORMAL,PNEUMONIA,False Positive,0.879
124,/kaggle/input/datasets/paultimothymooney/chest-xray-pneumonia/chest_xray/test/NORMAL/NORMAL2-IM-0206-0001.jpeg,NORMAL,PNEUMONIA,False Positive,0.9484
126,/kaggle/input/datasets/paultimothymooney/chest-xray-pneumonia/chest_xray/test/NORMAL/NORMAL2-IM-0210-0001.jpeg,NORMAL,PNEUMONIA,False Positive,0.8309
129,/kaggle/input/datasets/paultimothymooney/chest-xray-pneumonia/chest_xray/test/NORMAL/NORMAL2-IM-0219-0001.jpeg,NORMAL,PNEUMONIA,False Positive,0.8973
130,/kaggle/input/datasets/paultimothymooney/chest-xray-pneumonia/chest_xray/test/NORMAL/NORMAL2-IM-0221-0001.jpeg,NORMAL,PNEUMONIA,False Positive,0.7197
131,/kaggle/input/datasets/paultimothymooney/chest-xray-pneumonia/chest_xray/test/NORMAL/NORMAL2-IM-0222-0001.jpeg,NORMAL,PNEUMONIA,False Positive,0.8212
133,/kaggle/input/datasets/paultimothymooney/chest-xray-pneumonia/chest_xray/test/NORMAL/NORMAL2-IM-0232-0001.jpeg,NORMAL,PNEUMONIA,False Positive,0.9918
134,/kaggle/input/datasets/paultimothymooney/chest-xray-pneumonia/chest_xray/test/NORMAL/NORMAL2-IM-0233-0001.jpeg,NORMAL,PNEUMONIA,False Positive,0.996
135,/kaggle/input/datasets/paultimothymooney/chest-xray-pneumonia/chest_xray/test/NORMAL/NORMAL2-IM-0237-0001.jpeg,NORMAL,PNEUMONIA,False Positive,0.9008
136,/kaggle/input/datasets/paultimothymooney/chest-xray-pneumonia/chest_xray/test/NORMAL/NORMAL2-IM-0238-0001.jpeg,NORMAL,PNEUMONIA,False Positive,0.7016
138,/kaggle/input/datasets/paultimothymooney/chest-xray-pneumonia/chest_xray/test/NORMAL/NORMAL2-IM-0246-0001-0001.jpeg,NORMAL,PNEUMONIA,False Positive,0.8429
139,/kaggle/input/datasets/paultimothymooney/chest-xray-pneumonia/chest_xray/test/NORMAL/NORMAL2-IM-0246-0001-0002.jpeg,NORMAL,PNEUMONIA,False Positive,0.8429
140,/kaggle/input/datasets/paultimothymooney/chest-xray-pneumonia/chest_xray/test/NORMAL/NORMAL2-IM-0246-0001.jpeg,NORMAL,PNEUMONIA,False Positive,0.9428
141,/kaggle/input/datasets/paultimothymooney/chest-xray-pneumonia/chest_xray/test/NORMAL/NORMAL2-IM-0249-0001.jpeg,NORMAL,PNEUMONIA,False Positive,0.9242
142,/kaggle/input/datasets/paultimothymooney/chest-xray-pneumonia/chest_xray/test/NORMAL/NORMAL2-IM-0251-0001.jpeg,NORMAL,PNEUMONIA,False Positive,0.6696
143,/kaggle/input/datasets/paultimothymooney/chest-xray-pneumonia/chest_xray/test/NORMAL/NORMAL2-IM-0252-0001.jpeg,NORMAL,PNEUMONIA,False Positive,0.7275
144,/kaggle/input/datasets/paultimothymooney/chest-xray-pneumonia/chest_xray/test/NORMAL/NORMAL2-IM-0256-0001.jpeg,NORMAL,PNEUMONIA,False Positive,0.9993
159,/kaggle/input/datasets/paultimothymooney/chest-xray-pneumonia/chest_xray/test/NORMAL/NORMAL2-IM-0283-0001.jpeg,NORMAL,PNEUMONIA,False Positive,0.9575
160,/kaggle/input/datasets/paultimothymooney/chest-xray-pneumonia/chest_xray/test/NORMAL/NORMAL2-IM-0285-0001.jpeg,NORMAL,PNEUMONIA,False Positive,0.9641
163,/kaggle/input/datasets/paultimothymooney/chest-xray-pneumonia/chest_xray/test/NORMAL/NORMAL2-IM-0288-0001.jpeg,NORMAL,PNEUMONIA,False Positive,0.8539
171,/kaggle/input/datasets/paultimothymooney/chest-xray-pneumonia/chest_xray/test/NORMAL/NORMAL2-IM-0302-0001.jpeg,NORMAL,PNEUMONIA,False Positive,0.5091
181,/kaggle/input/datasets/paultimothymooney/chest-xray-pneumonia/chest_xray/test/NORMAL/NORMAL2-IM-0315-0001.jpeg,NORMAL,PNEUMONIA,False Positive,0.6017
182,/kaggle/input/datasets/paultimothymooney/chest-xray-pneumonia/chest_xray/test/NORMAL/NORMAL2-IM-0316-0001.jpeg,NORMAL,PNEUMONIA,False Positive,0.777
186,/kaggle/input/datasets/paultimothymooney/chest-xray-pneumonia/chest_xray/test/NORMAL/NORMAL2-IM-0322-0001.jpeg,NORMAL,PNEUMONIA,False Positive,0.6153
193,/kaggle/input/datasets/paultimothymooney/chest-xray-pneumonia/chest_xray/test/NORMAL/NORMAL2-IM-0330-0001.jpeg,NORMAL,PNEUMONIA,False Positive,0.9845
209,/kaggle/input/datasets/paultimothymooney/chest-xray-pneumonia/chest_xray/test/NORMAL/NORMAL2-IM-0349-0001.jpeg,NORMAL,PNEUMONIA,False Positive,0.9998
217,/kaggle/input/datasets/paultimothymooney/chest-xray-pneumonia/chest_xray/test/NORMAL/NORMAL2-IM-0360-0001.jpeg,NORMAL,PNEUMONIA,False Positive,0.6535
219,/kaggle/input/datasets/paultimothymooney/chest-xray-pneumonia/chest_xray/test/NORMAL/NORMAL2-IM-0362-0001.jpeg,NORMAL,PNEUMONIA,False Positive,0.8221
226,/kaggle/input/datasets/paultimothymooney/chest-xray-pneumonia/chest_xray/test/NORMAL/NORMAL2-IM-0373-0001.jpeg,NORMAL,PNEUMONIA,False Positive,0.6853
230,/kaggle/input/datasets/paultimothymooney/chest-xray-pneumonia/chest_xray/test/NORMAL/NORMAL2-IM-0376-0001.jpeg,NORMAL,PNEUMONIA,False Positive,0.8856
254,/kaggle/input/datasets/paultimothymooney/chest-xray-pneumonia/chest_xray/test/PNEUMONIA/person108_bacteria_511.jpeg,PNEUMONIA,NORMAL,False Negative,0.4487
317,/kaggle/input/datasets/paultimothymooney/chest-xray-pneumonia/chest_xray/test/PNEUMONIA/person127_bacteria_604.jpeg,PNEUMONIA,NORMAL,False Negative,0.2423
390,/kaggle/input/datasets/paultimothymooney/chest-xray-pneumonia/chest_xray/test/PNEUMONIA/person153_bacteria_726.jpeg,PNEUMONIA,NORMAL,False Negative,0.0504
391,/kaggle/input/datasets/paultimothymooney/chest-xray-pneumonia/chest_xray/test/PNEUMONIA/person154_bacteria_728.jpeg,PNEUMONIA,NORMAL,False Negative,0.0078
401,/kaggle/input/datasets/paultimothymooney/chest-xray-pneumonia/chest_xray/test/PNEUMONIA/person158_bacteria_745.jpeg,PNEUMONIA,NORMAL,False Negative,0.2052
439,/kaggle/input/datasets/paultimothymooney/chest-xray-pneumonia/chest_xray/test/PNEUMONIA/person1647_virus_2848.jpeg,PNEUMONIA,NORMAL,False Negative,0.4706
445,/kaggle/input/datasets/paultimothymooney/chest-xray-pneumonia/chest_xray/test/PNEUMONIA/person1653_virus_2859.jpeg,PNEUMONIA,NORMAL,False Negative,0.2167
449,/kaggle/input/datasets/paultimothymooney/chest-xray-pneumonia/chest_xray/test/PNEUMONIA/person1659_virus_2867.jpeg,PNEUMONIA,NORMAL,False Negative,0.2586
473,/kaggle/input/datasets/paultimothymooney/chest-xray-pneumonia/chest_xray/test/PNEUMONIA/person16_virus_47.jpeg,PNEUMONIA,NORMAL,False Negative,0.0011
494,/kaggle/input/datasets/paultimothymooney/chest-xray-pneumonia/chest_xray/test/PNEUMONIA/person20_virus_51.jpeg,PNEUMONIA,NORMAL,False Negative,0.3848
523,/kaggle/input/datasets/paultimothymooney/chest-xray-pneumonia/chest_xray/test/PNEUMONIA/person43_virus_92.jpeg,PNEUMONIA,NORMAL,False Negative,0.4895
556,/kaggle/input/datasets/paultimothymooney/chest-xray-pneumonia/chest_xray/test/PNEUMONIA/person76_virus_138.jpeg,PNEUMONIA,NORMAL,False Negative,0.4827
567,/kaggle/input/datasets/paultimothymooney/chest-xray-pneumonia/chest_xray/test/PNEUMONIA/person79_virus_148.jpeg,PNEUMONIA,NORMAL,False Negative,0.1651
581,/kaggle/input/datasets/paultimothymooney/chest-xray-pneumonia/chest_xray/test/PNEUMONIA/person83_bacteria_407.jpeg,PNEUMONIA,NORMAL,False Negative,0.1717
599,/kaggle/input/datasets/paultimothymooney/chest-xray-pneumonia/chest_xray/test/PNEUMONIA/person88_bacteria_439.jpeg,PNEUMONIA,NORMAL,False Negative,0.0512
